He adoptoivat orvon.	彼らはその孤児を養子にした。
Todellako? Näytät todella nuorelta.	本当かい？ 君はとても若く見えるよ。
Olisiko sinulla aikaa?	暇ですか？
Opettajamme antaa meille paljon läksyjä.	私たちの先生は、宿題をたくさん出します。
Miksi olet noin väsyksissä?	なんでそんなに疲れてるの？
Vaikka yrittäisinkin pelata ammattilaisbaseballia, niin enpä usko, että minulla olisi onni puolellani.	プロ野球に入っても、僕なんか芽が出ないんじゃないかな。
Nyt minulla on kiire.	今、忙しいの。
En tiedä miten tämä sana tavataan.	その単語のスペルがわかりません。
Kun sanoin, että minulla on töissä kiireitä, joten haluan jakaa kotityöt, niin mieheni näytti hapanta naamaa.	私の仕事が忙しくなったので、家事を分担したいと言ったら、夫が渋い顔をした。
Tämä puu tuottaa paljon hyviä hedelmiä.	この木はよい実がたくさんなる。
”Oletko jo saanut sen valmiiksi?” ”Päinvastoin, olen vasta aloittanut.”	「君はそれを終えたか」「とんでもない、始めたばかりだ」
Tom ei ole koskaan syönyt hevosenlihasashimia.	トムは馬刺しを食べたことがない。
Tom teki valintansa.	トムは選んだ。
Halusin ottaa kiinni sen linnun, mutta tajusin, että se on mahdotonta.	私はその鳥を捕まえたかったが、それは無理だと分かった。
Kaikki pojat ovat tyhmiä.	男子ってみんな馬鹿だよね。
Tom ei tiennyt, että Mari oli päättänyt irtisanoutua töistä.	トムはメアリーが仕事を辞める決心をしていたことを知らなかった。
Ei ole mitään syytä siihen miksi minun pitäisi auttaa häntä.	私が彼を助けるべき理由はまったくありません。
Tom opettaa meille ranskaa.	トムは私達にフランス語を教えています。
Miksä naurat?	なんで笑ってるの？
Läheltä piti etten jäänyt auton alle.	車に撥ねられるところだった。
Älä yritä vedättää minua!	冗談も休み休みにしてよ。
Ensi kerralla otan isosiskoni mukaan.	今度くるときには姉を連れてきます。
Istu alas, ole hyvä.	お座りください。
Tämä ongelma on todella vaikea.	この問題はとても難しい。
Haluan jotakin juotavaa.	私は何か飲物が欲しい。
Minähän sanoin sinulle!	言っただろ！
Haluan katsoa TV:tä.	テレビが観たい。
Tee olosi mukavaksi.	どうぞおくつろぎください。
Luotan Tomiin täysin.	トムのことは心から信頼している。
Mikä sinun ystäväsi nimi on?	お友達の名前は何ですか。
Tom kärsi migreenistä vuosia.	トムは何年も偏頭痛に苦しんだ。
Mene vaan ensin.	お先にどうぞ。
Haluan mennä matkoille kanssasi.	わたしはあなたと、旅行に行きたい。
Tomin kanssa on helppo ystävystyä.	トムは親しみやすい人だ。
Hän pitää enemmän ranskasta kuin saksasta.	彼はドイツ語よりもフランス語が好きだ。
Voisitko odottaa vielä hetken?	もう少し待ってください。
Sairastuin varmasti flunssaan.	風邪を引いたに違いない。
Pieni hetki.	少々おまちください。
Mitä ruokaa teet?	何を料理しているの。
Käytä lyijykynää.	鉛筆で書いて下さい。
Hän teki hänestä vaimonsa.	彼は彼女を妻にした。
Tajusimme, että olimme eksyneet.	我々は道に迷った事を知った。
Tom kai odottaa.	トムは多分待ってる。
Meidän täytyy tutkia asiaa ennakolta.	その件について調べておかなければならない。
Se oli osoitettu Tomille ja Marille.	それはトムとメアリー宛てだった。
Mitä kieliä Tom osaa?	トムは何語ができるの？
Kukaan ei tullut juhliin.	誰ひとりとしてパーティに来なかった。
Kartalla olevat punaiset ympyrät esittävät kouluja.	地図の赤丸は学校を示す。
Tom katsoo parhaillaan telkkaria.	トムはテレビを見てる。
Voisitko heittää minut asemalle?	駅まで車で送ってくれませんか。
Harrasta liikuntaa ulkona.	外で運動しなさい。
Käykö, että sammutan valot?	電気消してもいい？
Tomilla on hammassärkyä.	トムは歯が痛い。
Hän katsoi häntä vihaisesti.	彼女は怒って彼を見た。
Mikä sinun ystäväsi nimi on?	あなたの友達の名前は何ですか。
John pelaa hyvin shakkia.	ジョンはチェスがうまい。
Minua ei ällötä ainoastaan käärmeiden ulkomuoto vaan myös se luikertelu.	蛇の姿かたちはもちろん、あのうねうねした動きが気持ち悪い。
Jos niin haluat, huolehdin lapsistasi ilomielin.	もしお望みなら喜んでお子さんの面倒を見ますよ。
Anna se kirja minulle.	その本をとってくれ。
Sain tänä aamuna paljon postia.	今朝は郵便がたくさんきた。
Kuulin yhtäkkiä jonkun laulavan lähellä.	突然、私は近くで誰かが歌っているのを聞いた。
Olen jo saanut tarpeekseni Tomista.	トムにはもううんざりだ。
Onko kaikki kunnossa?	大丈夫ですか。
Hän piirsi kirjassa olevan kuvan muistivihkoonsa.	彼女は本の絵をノートに書き移した。
Hän itki.	彼女は泣いた。
Olen vapaalla sunnuntaina.	日曜日はあいてます。
Seinää koristi muotokuva.	壁には肖像画が飾ってあった。
Aikooko Jane laulaa?	ジェーンは歌うでしょうか。
Lämmitä se.	温めて。
En ole koskaan kuullutkaan siitä kaupungista.	その都市のことを聞いたことがない。
En olisi saanut tehtyä sitä ilman sinua. Kiitos.	君がいなければできなかった。ありがとう。
Voisitko herättää minut huomenna aamukuudelta?	６時に起こして下さい。
Pieni hetki.	少々お待ち下さい。
Kenen ansiosta penissiliini löydettiin?	ペニシリンの発見は誰のおかげですか。
Tom on runoilija.	トムは詩人だ。
Kovin on ilma kostea.	湿度がすごく高いですね。
Tom vaikuttaa mukavalta ihmiseltä.	トムはいい人そうだ。
Minulla on kalastuskirja.	私はつりに関する本を持っている。
Anteeksi, mutta sopiiko, että lainaan puhelintanne?	すみませんが、電話を使ってもよろしいですか。
Jos jätät asian tekemättä, kukaan ei tee sitä.	せずに済むなら誰もこんなことはしない。
Tarvitsen Tomia.	トムが必要だ。
Silmääni sattuu.	目が痛い。
Sinulta puuttuu sisua!	君に欠けてるのは根気だよ。
Verotoimisto hyväksyi verovähennyksen.	税務署は控除を認めた。
Tom juuttui kiinni suohon.	トムは泥沼にはまった。
Ei huolta.	心配しないで！
Olen tavannut tuon tytön aikaisemmin.	私はあの少女と以前会ったことがある。
Missä on Euroopan korkein vuori?	ヨーロッパで一番高い山はどこですか？
Minulla on lahja.	プレゼントがあるんだ。
En ajattele, että se on outoa.	私はそれが奇妙だとは思いません。
Ihailen hänen ajotaitojaan.	私は彼の運転の技術は素晴らしいと思う。
Sinun pitää kuunnella mitä vanhempasi sanovat.	両親の言うことを聞きなさい。
Se ei kuulu hänelle.	それは彼の知ったことではない。
Palautitko kirjat?	本を返却しましたか。
Mitä sinä oikein tarkoitat?	どういう意味？
Oletko vieläkin herellä?	まだ起きてる？
En tunnu pääsevän eroon tästä nuhasta mitenkään.	風邪がなかなか抜けません。
Tämä kertomus perustuu tositarinaan.	この物語は実話に基づいています。
Missä tahansa opiskelussa on minun mielestäni parasta opiskella ahkerasti päivittäin.	どんな勉強でも、毎日コツコツとやるのが一番だと思う。
Pyhä jysäys!	なんてこった！
Tom upposi liejuun.	トムは泥沼にはまった。
Väännetään kättä.	腕相撲しよう。
Tällä tahdilla näyttää siltä, että en voi ostaa taloa.	この調子ではいえは買えそうにない。
Mitä minun pitäisi nyt tehdä?	私は今何をすべきですか。
Kuu on laskenut.	月が没した。
Isäni nukkui koko elokuvan ajan.	父は映画の間眠り通しだった。
Tom, oletko kiinnostunut baseballista?	トムは野球興味ある？
Parempi myöhään kuin ei milloinkaan.	遅くともやらないよりはまし。
Aloin ymmärtää syyn sille, miksi hän vihaa minua.	彼が私を憎む理由がわかりはじめた。
No kun haluan mennä kouluun.	学校に行きたいんです。
Voinko lähteä?	今出発していいですか。
Pidän jazzista.	僕はジャズが好きだ。
Älä avaa kirjaa.	本を開くな。
Mistä minä sen tietäisin?	俺に聞くなよ。
Hauska tappa vanha tuttu!	久しぶりです。
Voisitko laittaa radion päälle?	ラジオをつけてくれ。
En tarvitse tuota.	必要ありません。
Anteeksi, voisitko neuvoa minut juna-asemalle?	すみません、駅への道を教えていただけませんか？
Minkä ikäinen sinä olet?	歳はいくつですか。
Oletpa laihtunut! Oletko laihdutuskuurilla?	痩せたね！ ダイエットしてるの？
Minun täytyy vielä kamera huoltoon.	カメラを修理に出さねばならない。
On hänellä otsaa sivuuttaa minut noin vain.	このワタクシをさらりと無視するとは良い度胸ですわね。
Tule kotiin.	帰ってこい。
Haluaisin mieluummin jäädä kotiin kuin mennä ulos hänen kanssaan.	私は彼と一緒に外出するよりもむしろ家にいたい。
Terve, mitä kuuluu?	やあ！元気？
Kuuntele tarkasti mitä sanon nyt.	これから言うことをよく聞きなさい。
Minulla on paljon tekemistä tänään iltapäivällä.	今日の午後しなければならない事がたくさんあります。
Kitaran soittaminen on hauskaa.	ギターをひくのはおもしろい。
Mihin olet matkalla?	どこに行くの？
En osaa selittää.	説明もできないよ。
Voinko kysyä pari kysymystä?	２つの質問をしてもよいですか。
Meret happamoituvat.	海は酸性になっていっている。
Kuinka paljon tämä maksaa?	いくらですか？
Kuka on Tom?	トムって誰？
Hän ei ollut koskaan nähnyt niin tuhmaa lasta.	彼はそんな悪い子を見たことがなかった。
Mitä te täällä jonotatte?	ここ何で並んでるんですか？
Pidä kiirettä tai myöhästyt.	急がないと遅れるよ。
"Mulla on nälkä." "Nii mullakin." "Syödäänks?" "Joo."	「お腹減ってきた」「僕も」「ご飯にする？」「うん」
Hän näyttää nuorelta ikäisekseen.	彼は年の割には若く見える。
Mitä tuo on?	何だあれは？
Puhelu oli kepulikonsti saada hänet ulos kodistaan.	電話は彼を家から出すための策略だった。
Ole hiljaa silloin kun minä puhun.	私が話しをする時は静かにしなさい。
Hän on parhaillaan syömässä.	彼は今食事中です。
Yhtä asiaa en ymmärrä.	1つ分からないことがあります。
Mitkä ovat uskonnon ja filosofian väliset erot?	宗教と哲学は何が違うのですか？
Olen tottunut teltassa nukkumiseen.	テントの中で寝るのには慣れている。
Mitäköhän virkaa kulmakarvoilla on?	眉毛って一体何のためにあるんだろう？
Kilpikonna ohitti jäniksen.	うさぎはかめに追い越された。
Sää lämpenee päivä päivältä.	日増しに暑くなる。
Inhoan työtäni.	仕事は嫌いだ。
Hetkinen.	ちょっと待って下さい。
Pystytkö tunnistamaan oman takkisi?	どのコートがあなたのものか、ご確認いただけますか。
Saisinko vähän vettä, kiitos.	水を少しください。
Älä valehtele meille.	私たちには嘘をつかないで。
Myös minä mietin samaa asiaa.	私も同じこと考えてた。
Tulen heti takaisin.	すぐ戻ってきます。
Söin parhaillaan lounasta.	昼ごはんを食べていました。
Mitä enemmän taitoja taitaa, sitä suuremman myötävaikutuksen voi antaa yhteiskunnalle.	多くの技術を修得すればするほど、社会に対して大きな貢献をすることができる。
Menen harvoin töihin kävellen.	私はめったに徒歩で会社には行かない。
Hän ei ole köyhä.	彼女は貧乏ではない。
Keneltä sinä sait tämän?	これ誰にもらったんですか？
Tule heti kotiin!	すぐに帰りなさい。
Olen ihan hirvittävän väsynyt.	私は大変疲れています。
Millainen henkilö Tom on?	トムってどんな人？
Tom valitsi.	トムは選択した。
Onpa Tomilla outo tapa nauraa!	トムって変な笑い方するよね。
He sanoivat onnettomuuden olleen hänen syynsä.	彼らは事故の責任は彼にあると言った。
Onko sinulla sisaruksia?	ごきょうだいはいますか？
Anteeksi, mutta en voi oikein hyvin.	すみません、気分が悪いのですが。
En tarvitse tätä.	必要ありません。
Haluaisin kiivetä Fuji-vuorelle vielä uudelleen.	もう一度富士山に登りたい。
Olen kännissä.	酔った。
Sainpas kiinni!	捕まえた。
En ole koskaan aikaisemmin syönyt mangoa.	今までに一度もマンゴーを食べたことがありません。
Minä teen ne työt huomenna.	その仕事は明日やるよ。
Minä tulen perästä.	私は後から行きます。
Miksi päätit ostaa tämän talon?	なぜこの家を買うことに決めたのですか。
Olen puhelimessa.	電話中なんですよ。
En tarvitse rahaa.	お金はいらない。
Sain pelottavaa sähköpostia.	気味の悪いeメールが来た。
Hän ei ole voinut sanoa sellaista.	彼がそんなことを言ったはずがない。
Yhtäkkiä hän sai mahtavan inspiraation.	彼女は突然すばらしい霊感を得た。
Olemme olleet Tomin kanssa ystäviä monta vuotta.	トムとは長年の友達だ。
Voinko rutistaa sinua?	ぎゅーしていい？
Punaiset vaatteet sopivat hänelle hyvin.	赤い服は彼女によく似合う。
Minunkin vaimoni on tiedemies.	わたしの妻も科学者です。
Äitini osaa tuskin ollenkaan englantia.	母は英語があまりできません。
Kirjoitin viime viikolla herra Woodille ja pyysin häntä antamaan sinulle töitä maatilalla.	先週ウッドさんに手紙を書いて、農場で仕事をさせてくれるように頼んでおいたよ。
Kohtele iäkkäitä ihmisiä ystävällisesti.	お年寄りには親切にしなさい。
Rakastan kirjojen lukemista.	読書が大好きです。
Sepä on vähän kummallista.	それはちょっとおかしいね。
Tomilla on isot kädet.	トムは手が大きい。
Miten sinulla sujuu töissä?	仕事はどうですか？
Siinä, mitä hän meille kertoi jonkin aikaa sitten, ei ole mitään järkeä.	先日彼が私たちに話したことは全く筋が通らないですよね。
Olen täysin samaa mieltä.	まったく同感です。
Pelkään pahoin, että hän on sairas.	彼は病気じゃないかしら。
Terve, mitä kuuluu?	やあ、元気？
Mitäköhän Tom sanoo?	トムは何て言うかなあ。
Tom on hyvä uimaan.	トムは泳ぐのが上手い。
Tom sairastaa syöpää.	トムは癌を患っている。
Haluan opiskella ranskaa.	私はフランス語を勉強したい。
Kuka rikkoi tämän?	これを壊したのはだれですか。
Oletko nyt ihastunut johonkuhun?	今好きな人いる？
Kuinka monta päivää se suunnilleen kestää?	日にちはどのくらいかかりますか。
Tavaratalo oli tupaten täynnä ihmisiä O-bon-juhlaloman takia.	お盆休みのせいかデパートは人でごったがえしていた。
Minua kutsutaan Tomiksi.	トムといいます。
Hän on keittiössä.	彼はキッチンにいる。
Mitä tänään syödään päivälliseksi?	今日の晩ごはん何？
Tom ei ole puhunut useisiin vuosiin Marin kanssa.	トムは何年もメアリーと口を利いていない。
Kysy Tomilta, mitä mieltä hän on Bostonista.	ボストンについてどう思うか、トムに聞いて。
Tom on todennäköisesti vihainen.	トムは多分怒っている。
Autoa ajaessa täytyy olla varovainen.	車を運転する時は注意しなければならない。
Kymmenen vuotta on huomattava aika.	１０年といえば相当な時間だ。
Eilen oli todellä hyvä sää.	昨日、天気が非常によかった。
Älä kuole.	死なないで。
Tiedätkö missä hän asuu?	彼女がどこに住んでいるか知っていますか。
Hän puhuu saksaa, englannista puhumattakaan.	彼は英語はもちろんのことドイツ語も話す。
Laitan telkkarin pois päältä, jos et katso sitä.	テレビ見てないなら消すよ。
Vihdoinkin sade loppui.	やっと雨がやんだ。
Oppiakseen derivaattoja ja integraaleja on tarpeen laskea paljon harjoitustehtäviä.	微積分を学ぶには、練習問題をたくさんこなす必要があります。
Sinun ei tarvitse murehtia sellaisista asioista.	そんなこと心配しなくてだいじょうぶだよ。
Toivon sinulle pikaista paranemista.	どうかお大事になさってください。
Saanko kysyä yhden kysymyksen?	質問していい？
Voisitko hieman auttaa?	ちょっと手伝ってもらえますか。
Voisitko näyttää minulle jotain muuta?	他のを見せてください。
Sepä mukava kuulla.	それは良かったですね。
Olen kotoisin Sveitsistä.	スイスから来ました。
Minun mielestäni hän on aivan ylivertainen opettaja.	私は彼を最高の先生だと思っている。
Minulla on vähän nälkä.	ちょっと小腹がすいたな。
Se käsilaukkuvaras yritti päästä irti otteestani kiemurrellen ja vääntelehtien.	そのひったくりは、その体を押さえつけている私からなんとか逃れようと、じたばたともがいていた。
Vaikka sinulla ei olisikaan ruokahalua, niin sinun pitää syödä jotain, tai et kestä lounaaseen saakka.	食欲なくても何か食べとかないと昼までもたないよ。
Älä mene ulos huoneesta.	部屋を出てはいけません。
Siitä huolimatta, että hän täytti viisikymmentä, hän on edelleen henkeäsalpaavan kaunis.	50歳になっても、まだ彼女は息を呑むほど美しい。
Hän puhuu englantia kuin äidinkieltään.	彼女はまるで母語を話すように英語を話します。
Yleensä pojat ovat nopeampia juoksemaan kuin tytöt.	一般に男子は女子よりも足が速い。
Minä mietin häntä vieläkin toisinaan.	今でも私はときどき彼女のことを思い出す。
Tom on jo syönyt.	トムはもう食べてしまった。
Olehan varovainen.	気をつけて！
Kaupan eteen on jätetty lastenvaunut.	ベビーカーが店の前に置かれている。
Siirtykää eteenpäin, olkaa hyvät.	前に行ってください。
Minä yritän.	やってみる。
Tällä alueella hyväksytään avioliitto saman sukupuolen edustajien kesken.	この地域では同性婚が認められている。
Kutsu heti lääkäri paikalle.	すぐに医者を呼びにやりなさい。
Mene eteen päin.	進んで。
Satoo harjoittelee viikonloppuisin jousiammuntaa.	佐藤さんは週末にアーチェリーをします。
Hän otti yhden kolikon ulos taskustaan.	彼はコインを１枚ポケットから取り出した。
Tomin käsiala ei ole kovin hyvä, mutta sitä on helppo lukea.	トムの字ってうまくはないけど読みやすいよね。
Se on liian pieni.	小さすぎる。
Sallinet minun esitellä itseni.	自己紹介をさせてください。
Tomi osti Marille kameran.	トムはメアリーにカメラを買ってあげた。
Anna minun lähteä.	私に行かせてください。
Onko meillä tämän viikon perjantaina koulua?	今週の金曜って授業あるの？
Sovittaa askeleensa samaan tahtiin.	足並みをそろえる。
Lasi vettä, kiitos.	コップ１杯の水をください。
Kun ehdokkaalta kysyttiin hänen toimintaperiaatteistaan, hän vastasi vain epämääräisesti.	政策について聞かれたところ、その候補者はあいまいな返答しかできなかった。
Yksi kokis, kiitos.	コークをください。
En ymmärrä saksaa sitten yhtään.	ドイツ語がさっぱり分からない。
Se riippuu sinusta.	君次第だよ。
Kuka tuo vanha nainen on?	あの老女は誰ですか？
Eikö olisi parasta kysyä Tomilta?	トムに聞いた方がいいんじゃない。
He kulkivat käsi kädessä.	彼らは手に手を取っていった。
Tom on esimerkillinen poika.	トムさんは代表的な息子です。
Huono juttu. Me käymme syömässä kakkua lounaan jälkeen.	残念だわ。昼食の後でケーキを食べるつもりなのに。
Hän uppoutui työhönsä.	彼は自分の仕事に専念した。
Minä olen opiskelija.	私は学生です。
Saisinko laskun, kiitos.	お会計お願いします。
Ystäväni Kei ilmestyy aina heti auttamaan minua, kun olen pulassa.	友達のケイちゃんは、私が困っているときにはいつもすっと現れて私を助けてくれた。
Lasillinen vettä, kiitos.	コップ１杯の水をください。
Minulla ei ole mitään hajua, kuka hän on.	彼女が誰なのか、私にはさっぱりわからない。
Ala vetää.	消え失せろ。
Yritän ottaa Tomiin yhteyttä kaikin mahdollisin keinoin, mutta en saa häntä kiinni.	なんとかしてトムと連絡を取ろうとしているのだけれど、つかまらない。
Onko mitään sellaista ruokaa, josta et pidä?	嫌いな食べ物ってありますか？
Hän aikoo osallistua kauneuskilpailuun.	彼女は美人コンテストに参加するつもりだ。
Rauhoitu!	落ち着けよ。
Älä murehdi.	心配しないで。
Olen syönyt tarpeeksi.	もうおなかいっぱいです。
En tiedä onko minulla sitä enää.	まだ持ってるか分からないなあ。
Hän on minun vanha ystäväni.	奴は僕の旧友だ。
Nähdään ensi keskiviikkona.	今度の水曜日に会いましょう。
Siitä ei ole epäilystäkään, etteikö hän olisi vihainen.	彼女は怒っているにちがいない。
Mihin olet matkalla?	どこへ行きますか。
Älä anna periksi.	あきらめるな。
